Code,Description
41004,Afghanistan
23248,Aland Islands
24008,Albania
33012,Algeria
51016,American Samoa
24020,Andorra
34024,Angola
13660,Anguilla
61010,Antarctica
13028,Antigua And Barbuda
14032,Argentina
41051,Armenia
13533,Aruba
51036,Australia
21040,Austria
41031,Azerbaijan
13044,Bahamas
41048,Bahrain
44050,Bangladesh
13052,Barbados
22112,Belarus
21056,Belgium
12084,Belize
31204,Benin
13060,Bermuda
44064,Bhutan
14068,Bolivia
13535,"Bonaire, Saint Eustatius and Saba"
24070,Bosnia - Herzegovina
35072,Botswana
61074,Bouvet Island
14076,Brazil
44086,British Indian Ocean Territory
43096,Brunei Darussalam
22100,Bulgaria
31854,Burkina Faso
32108,Burundi
43116,Cambodia
34120,Cameroon
11124,Canada
31132,Cape Verde
13136,Cayman Islands
34140,Central African Republic
34148,Chad
14152,Chile
42156,China
51162,Christmas Island
51166,Cocos (Keeling) Islands
14170,Colombia
32174,Comoros
34178,Congo
34180,"Congo, Democratic Republic Of The"
51184,Cook Islands
12188,Costa Rica
31384,Côte D'Ivoire
24191,Croatia
13192,Cuba
13531,Curaçao
41196,Cyprus
22203,Czech Republic
23208,Denmark
32262,Djibouti
13212,Dominica
13214,Dominican Republic
14218,Ecuador
33818,Egypt
12222,El Salvador
23826,England
34226,Equatorial Guinea
32232,Eritrea
22233,Estonia
32231,Ethiopia
23234,Faeroe Islands
14238,Falkland Islands (Malvinas)
51242,Fiji
23246,Finland
21250,France
14254,French Guiana
51258,French Polynesia
61260,French Southern Territories
34266,Gabon
31270,Gambia
41268,Georgia
21276,Germany
31288,Ghana
24292,Gibraltar
24300,Greece
11304,Greenland
13308,Grenada
13312,Guadeloupe
51316,Guam
12320,Guatemala
23831,Guernsey
31324,Guinea
31624,Guinea-Bissau
14328,Guyana
13332,Haiti
61334,Heard Island And Mcdonald Islands
12340,Honduras
42344,Hong Kong
22348,Hungary
23352,Iceland
44356,India
43360,Indonesia
41364,Iran
41368,Iraq
23372,"Ireland, Republic Of (Eire)"
23833,Isle Of Man
41376,Israel
24380,Italy
13388,Jamaica
42392,Japan
23832,Jersey
41400,Jordan
41398,Kazakhstan
32404,Kenya
51296,Kiribati
42408,"Korea, North"
42410,"Korea, South"
24983,Kosovo
41414,Kuwait
41417,Kyrgyzstan
43418,Laos
22428,Latvia
41422,Lebanon
35426,Lesotho
31430,Liberia
33434,Libya
21438,Liechtenstein
22440,Lithuania
21442,Luxembourg
42446,Macao
24807,Macedonia (Fyrom)
32450,Madagascar
32454,Malawi
43458,Malaysia
44462,Maldives
31466,Mali
24470,Malta
51584,Marshall Islands
13474,Martinique
31478,Mauritania
32480,Mauritius
32175,Mayotte
12484,Mexico
51583,"Micronesia, Federated States Of"
22498,"Moldova, Republic Of"
21492,Monaco
42496,Mongolia
24499,Montenegro
13500,Montserrat
33504,Morocco
32508,Mozambique
43104,Myanmar
35516,Namibia
51520,Nauru
44524,Nepal
21528,Netherlands
13530,Netherlands Antilles
51540,New Caledonia
51554,New Zealand
12558,Nicaragua
31562,Niger
31566,Nigeria
51570,Niue
51574,Norfolk Island
23826,Northern Ireland
51580,Northern Mariana Islands
23578,Norway
41512,Oman
44586,Pakistan
51585,Palau
41275,Palestinian Territory Occupied
12591,Panama
51598,Papua New Guinea
14600,Paraguay
14604,Peru
43608,Philippines
51612,Pitcairn
22616,Poland
24620,Portugal
13630,Puerto Rico
41634,Qatar
32638,Reunion
22642,Romania
22643,Russian Federation
32646,Rwanda
13652,Saint Barthelemy
13663,Saint Martin
51882,Samoa
24674,San Marino
34678,Sao Tome & Principe
41682,Saudi Arabia
23826,Scotland
31686,Senegal
24688,Serbia
24891,Serbia and Montenegro
32690,Seychelles
31694,Sierra Leone
43702,Singapore
13534,Sint Maarten (Dutch part)
22703,Slovakia
24705,Slovenia
51090,Solomon Islands
32706,Somalia
35710,South Africa
14239,South Georgia And The Southern Sandwich Islands
24724,Spain
44144,Sri Lanka
31654,St Helena
13659,St Kitts And Nevis
13662,St Lucia
11666,St Pierre And Miquelon
13670,St Vincent And The Grenadines
33736,Sudan
14740,Suriname
23744,Svalbard And Jan Mayen Island
35748,Swaziland
23752,Sweden
21756,Switzerland
41760,Syria
42158,Taiwan
41762,Tajikistan
32834,"Tanzania, United Republic Of"
43764,Thailand
43626,Timor-Leste
31768,Togo
51772,Tokelau
51776,Tonga
13780,Trinidad And Tobago
33788,Tunisia
41792,Turkey
41795,Turkmenistan
13796,Turks And Caicos Islands
51798,Tuvalu
32800,Uganda
22804,Ukraine
41784,United Arab Emirates
23826,United Kingdom
11840,United States
51581,United States Minor Outlying Islands
14858,Uruguay
41860,Uzbekistan
51548,Vanuatu
24336,Vatican City State
14862,Venezuela
43868,Viet Nam
13850,Virgin Island (U.S)
13092,"Virgin Islands, British"
23826,Wales
51876,Wallis And Futuna
33732,Western Sahara
41886,Yemen
32894,Zambia
32716,Zimbabwe
