Code,Description
116,"Aboriginal Languages, N.I.E."
85,"African Languages, N.I.E."
94,"Algonquian Languages, N.I.E."
93,Algonquin
73,Amharic
69,Arabic
19,Armenian
65,"Asiatic Languages, N.I.E"
102,"Athapaskan Languages, N.I.E."
118,Attikamek
64,Austro-Asiatic Languages
83,"Bantu Languages, N.I.E."
48,Bengali
89,Blackfoot
27,Bulgarian
26,Byelorussian
97,Carrier
22,"Celtic Languages, N.I.E."
98,Chilcotin
60,Chinese
95,Chipewyan
87,Cree
122,Creoles
29,Croatian
32,Czech
113,Dakota/Sioux
6,Danish
120,Dene
99,Dogrib
55,"Dravidian Languages, N.I.E."
3,Dutch
1,English
124,English & French
125,English And Non-Official Language(s)
127,"English, French And Non-Official Language(s)"
79,Estonian
80,Finnish
4,Flemish
2,French
126,French And Non-Official Language(s)
5,Frisian
20,Gaelic Languages
11,German
12,"Germanic Languages, N.I.E."
109,Gitksan
18,Greek
42,Gujarati
112,Haida
70,Hebrew
46,Hindi
81,Hungarian
7,Icelandic
50,"Indo-Iranian Languages, N.I.E."
117,Inuktitut
104,"Iroquoian Languages, N.I.E."
16,Italian
56,Japanese
54,Kannada
63,Khmer (Cambodian)
44,Konkani
57,Korean
38,Kurdish
101,Kutchin-Gwich In (Loucheux)
115,Kutenai
59,Lao
23,Latvian (Lettish)
24,Lithuanian
33,Macedonian
51,Malayalam
66,Malay-Bahasa
68,Malayo-Polynesian
90,Malecite
71,Maltese
43,Marathi
91,Micmac
103,Mohawk
92,Montagnais-Naskapi
84,"Niger-Congo Languages, N.I.E."
121,Nishga
110,Nootka
100,North Slave (Hare)
8,Norwegian
76,Not Applicable (Inst. Residents)
88,Ojibway
119,Oji-Cree
123,"Other Languages, N.I.E."
49,Pashto
39,Persian (Farsi)
34,Polish
13,Portuguese
40,Punjabi
17,"Romance Languages, N.I.E."
15,Romanian
25,Russian
107,"Salish Languages, N.I.E."
72,"Semitic Languages, N.I.E."
30,Serbian
28,Serbo-Croatian
105,Shuswap
41,Sindhi
45,Sinhalese
61,Sino-Tibetan
37,"Slavic Languages, N.I.E."
36,Slovak
31,Slovenian
74,Somali
96,South Slave
14,Spanish
82,Swahili
9,Swedish
67,Tagalog (Pilipino)
52,Tamil
53,Telugu
58,Thai
106,Thompson (Ntlakapamux)
75,Tigringa
114,Tlingit
108,Tsimshian
78,"Turkic Languages, N.I.E."
77,Turkish
86,Twi
35,Ukrainian
999,Unknown
47,Urdu
62,Vietnamese
111,"Wakashan Languages, N.I.E."
21,Welsh
10,Yiddish
