Code,Description,Country
AB,Alberta,Canada
BC,British Columbia,Canada
MB,Manitoba,Canada
NB,New Brunswick,Canada
NL,Newfoundland,Canada
NT,Northwest Territories,Canada
NS,Nova Scotia,Canada
NU,Nunavut Territory,Canada
ON,Ontario,Canada
PE,Prince Edward Island,Canada
QC,Quebec,Canada
SK,Saskatchewan,Canada
YT,Yukon Territories,Canada
AL,Alabama,United States
AK,Alaska,United States
AS,America Samoa,United States
AZ,Arizona,United States
AR,Arkansas,United States
CA,California,United States
CO,Colorado,United States
CT,Connecticut,United States
DE,Delaware,United States
DC,District Of Columbia,United States
FL,Florida,United States
GA,Georgia,United States
GU,Guam,United States
HI,Hawaii,United States
ID,Idaho,United States
IL,Illinois,United States
IN,Indiana,United States
IA,Iowa,United States
KS,Kansas,United States
KY,Kentucky,United States
LA,Louisiana,United States
ME,Maine,United States
MD,Maryland,United States
MA,Massachusetts,United States
MI,Michigan,United States
MN,Minnesota,United States
MS,Mississippi,United States
MO,Missouri,United States
MT,Montana,United States
NE,Nebraska,United States
NV,Nevada,United States
NH,New Hampshire,United States
NJ,New Jersey,United States
NM,New Mexico,United States
NY,New York,United States
NC,North Carolina,United States
ND,North Dakota,United States
MP,Northern Mariana Islands,United States
OH,Ohio,United States
OK,Oklahoma,United States
OR,Oregon,United States
PA,Pennsylvania,United States
PR,Puerto Rico,United States
RI,Rhode Island,United States
SC,South Carolina,United States
SD,South Dakota,United States
TN,Tennessee,United States
TX,Texas,United States
UT,Utah,United States
VT,Vermont,United States
VA,Virginia,United States
WA,Washington,United States
WV,West Virginia,United States
WI,Wisconsin,United States
WY,Wyoming,United States
